,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,HE-SRS016585
COG0001(Glutamate-1-semialdehyde_aminotransferase),0.000257996298712,0.000259605841038,0.000262125941542,0.000293395977257,0.000609509634585,0.0002103551118,0.00019847352518,0.000105726175623,8.25886815371e-05,0.000229508543512,6.45867153636e-05,4.76222339114e-05,0.000159435907541,5.53690085555e-05,8.88687859125e-05,6.48971338123e-05,7.37815719973e-05,9.8932484492e-05,0.000216203086225,0.000203649078498,0.000105162000368,0.000193311044857,3.66909396516e-05,7.18814395835e-05,3.41499627926e-05,0.000340119319154,0.000151481097753,9.70108337496e-05,4.92379799871e-05,5.71289046084e-05,8.50687546433e-05,0.000104437888812,4.78032487924e-05,0.000357797529182,1.79255800552e-05,1e-09,2.4522407455e-05,0.000103729015801,0.000129139862733,3.42082677579e-06,1.91839442232e-07,1e-09,8.76948056754e-05,0.000203566696372,0.000136973949247,0.00025136817144,0.000232411060564,0.000142696140562,0.000495075215812,7.2903346566e-05,6.51062072656e-05,0.000106330375936,1.57332935585e-05,3.83014911964e-05,0.00063264597801,4.41568506171e-05,1.44440019218e-05,8.33556297071e-05,0.000194168791909,0.000131533789786,9.38995030729e-05,1.59232044191e-05,0.00031377980259316405
COG0002(Acetylglutamate_semialdehyde_dehydrogenase),0.000270913426963,0.000554350750549,0.000458259334474,0.000496041978644,0.00048835463965,0.000418703944566,0.000485192831211,0.000342041729032,0.000239478372701,0.000580747105947,0.00065232606057,0.000592422298457,0.000532834156471,0.00043799889224,0.000410498724691,0.000401665103677,0.000255333243558,0.000551169529877,0.000607467542359,0.000498829913104,0.000633262820961,0.000528311695145,7.08930046725e-05,0.000441232556854,0.000112193414874,5.73499650792e-05,0.000395264975071,0.000362684256457,0.000441268867475,0.00037890075644,0.000334009518364,0.000328332427928,0.000423239256747,0.000476714369842,0.00035832426185,0.000434189046558,0.000439017304522,0.00030080459396,0.000304596544451,0.000454015975453,0.000404026126717,0.000397598644435,0.000381572738754,0.000395297942302,0.000411427499479,0.000446769815712,0.000466863555785,0.000420332619133,0.000609477581018,0.000453045201937,0.000393618860471,0.000402560749174,0.000334141088474,0.000205302271166,0.000566494823121,0.000439392239757,0.000450693898608,0.000395245679487,0.000334052445238,0.00036533339092,0.000397790465826,0.000402297343183,0.00025032587132078205
COG0003(Oxyanion-translocating_ATPase),0.000136801661271,7.03961844786e-06,5.23398270777e-05,6.0720753142e-05,2.39136019487e-05,9.10386952873e-05,0.000135181724094,0.00010441221399,5.37322938894e-05,1e-09,1e-09,1e-09,1e-09,1e-09,1.23855870496e-05,3.30256083916e-06,9.10489954683e-05,1e-09,1.21517443939e-06,1e-09,1e-09,5.63832608276e-06,0.000116704074573,6.64736641472e-05,1e-09,0.00012167954429,6.44268452373e-05,4.48653314961e-05,6.31514504037e-05,5.41109203695e-05,1.37096737369e-05,0.000114111373748,3.37374452778e-05,1.69847753535e-05,0.000205406909409,0.000157287547899,7.39946478069e-05,7.87070507069e-05,3.12600839788e-05,0.000231757839399,0.000158813218944,1e-09,4.7089428901e-05,1.5792511749e-05,6.40224891192e-05,1.6690703539e-05,5.036284697e-06,1e-09,1.5156415369e-05,3.84256620888e-05,6.4725459215e-06,1.4335719108e-05,8.53302825158e-05,5.56986076923e-05,2.03665737931e-05,0.000100857007527,5.16515751575e-05,0.000118562005951,9.5182490294e-06,1.95424309549e-05,3.7469819189e-05,0.000164483460823,1.3007842059686e-06
COG0004(Ammonia_permease),0.000255278370537,0.000620499228767,0.000649023640456,0.000575827961564,0.000532121664671,0.000399763245644,0.000525866712103,0.000342748487029,0.000240356823513,0.000271905154412,0.000824225741353,0.000708045322146,0.000541867496039,0.000394988475003,0.000450655627076,0.000369312623471,0.000259018322689,0.000420646396446,0.000339847183489,0.000443987656933,0.000279691739113,0.000386740130535,0.0010022425821,0.0003655449376,6.88411402919e-05,0.000173887728337,0.000213745677653,0.000322651293945,0.00028694164884,0.000286029949422,0.000332452972655,0.000288380605912,0.000664758066552,0.000826142542801,0.00026503567611,0.00033807744401,0.000633686282253,0.000240948794636,0.000236121270527,0.000355593636572,0.000462269231997,0.00035789343032,0.00029879638544,0.000382524403355,0.000414721417164,0.000659633098743,0.000629002203024,0.000367194483195,0.000602501785826,0.000346941882062,0.000355646610366,0.000243824275146,0.000187535739243,0.000206241085705,0.00105347402215,0.00035691526351,0.00037340874598,0.000337574688376,0.000188169689118,0.000261149583613,0.00039369397027,0.000334077898121,0.000278792855660186
COG0005(Purine_nucleoside_phosphorylase),0.000301068960287,0.000339324859685,0.000354533096398,0.000329404837127,0.000394384814479,0.00030776653589,0.000345695965308,0.000166103057029,0.000125414918615,0.00011616008708,0.000262167766147,0.000279309596029,0.000373210356868,0.000478389389218,0.000114918775918,0.000580921488817,0.000219726532811,0.000412678317222,7.27731514648e-05,0.000378611443828,4.61112474215e-05,0.000262128188205,4.26360374916e-05,0.000485279640662,0.00015397228273,0.00064402926748,0.000418399858574,0.00041053941752,0.000424703576253,0.000458091969836,0.000394496804638,0.000407037984203,0.00052231159372,0.000593064109796,0.000425730075829,0.000410946749366,0.00053938192813,0.000286453661228,0.000301830855875,0.000531207223469,0.000465889752078,0.000500582926595,0.000509261912115,0.000317439599275,0.000476927373838,0.000422642241639,0.000424201789576,0.000411529675664,0.000438907078729,0.000457005072919,0.000449791459011,0.000507380294767,0.000514942877453,0.000654707324233,0.00058974607941,0.000528440232425,0.000498092316591,0.000416389351015,0.000481178130482,0.000346211508715,0.000478750102302,0.000423985182705,0.000306397709767079
COG0006(Xaa-Pro_aminopeptidase),0.000938488553531,0.000795602660003,0.000797238620187,0.000900451206412,0.000889158251342,0.000911708152049,0.000865378933592,0.00107178902061,0.00136265032006,0.000772779360302,0.000737298324081,0.000883251897482,0.000960914489633,0.000986772253149,0.00101711848654,0.00135568692501,0.00121426682031,0.0016123234432,0.00075265882301,0.000908410587086,0.000889830491349,0.00115635477638,0.000643570738443,0.00134130321349,0.000513262682713,0.00051231267856,0.00125891901299,0.00128159719259,0.00115259069674,0.0011860967506,0.000920281987211,0.00119804008281,0.00124647680239,0.00073841528949,0.00105506155175,0.00129859811334,0.00116677442984,0.000820964929864,0.00104082601929,0.00139096727141,0.00114375051082,0.00131503026587,0.00116696488015,0.000810132788932,0.000976008100449,0.000812081527094,0.00073051650407,0.000957497439471,0.000878510574633,0.00120403261542,0.00115930255873,0.00119361469947,0.00104552403082,0.000956498062282,0.000683345672685,0.00124224727846,0.00142600102942,0.00120357414281,0.000687881308395,0.000967305882507,0.00106278467784,0.00128686422354,0.000907262137738172
COG0007(Uroporphyrinogen-III_methylase),0.000264535233921,0.000190838368447,0.000242126906714,0.00022698636842,8.48828286658e-05,0.000165725773594,0.000210224015535,0.000130716645957,9.38488102389e-05,0.000243890842547,0.000195933248358,0.000176551732885,0.000258081139031,0.000425338483735,0.000120443999383,0.000364030163621,7.63446116838e-05,0.000241464569507,0.0002293074574,0.000294451822878,0.000105489658953,0.000199019004014,0.000326759020895,0.000196805869055,0.000120067123503,7.53444319585e-05,0.000202970544876,9.23831536536e-05,1e-09,4.43736827141e-05,1.59440759972e-05,3.2460526522e-05,6.03138573236e-05,0.000355222505731,1.01862684834e-05,1e-09,2.97877405521e-05,7.49116274528e-05,8.85131264141e-05,1e-09,6.76546692768e-06,1e-09,5.56481827683e-05,9.78896128668e-05,0.000169060484141,0.000237895738588,0.000260552836599,0.000164737691087,0.000276096676125,9.25857285214e-05,9.99246419494e-05,1.61370103592e-05,2.34293256691e-05,1.44272190591e-05,0.000517177319916,4.02156935825e-05,1.23366251167e-05,0.000100649342835,0.000207709481585,8.7492206446e-05,6.56975199383e-05,1e-09,0.00029296074564231605
COG0008(Glutamyl-_and_glutaminyl-tRNA_synthetases),0.000915100727619,0.00118839922276,0.00103944477972,0.00117024867795,0.00151528519717,0.00111756561829,0.00126246576998,0.0010422632952,0.00103773166927,0.000943126049753,0.00109486357019,0.00115757165536,0.00109860707868,0.00095315913388,0.000962702966074,0.000989035129319,0.000979439597493,0.00100330142233,0.000956175792936,0.00097254072096,0.00103940843223,0.000989122389622,5.02820918342e-05,0.00103248589163,0.000150446232383,0.000672238404929,0.000800949504146,0.000924422224905,0.000818530383794,0.00103199473968,0.00122977411265,0.00119409741317,0.0012838802737,0.000970282388783,0.000836928201417,0.000793830446314,0.00120600079615,0.00100353777215,0.0010471616322,0.000899359887008,0.000832582681506,0.000802782640474,0.00123649962781,0.00113639478143,0.00100511374664,0.00109313363641,0.0012456243475,0.00107748162633,0.0013513779659,0.000876237985165,0.00123932816828,0.00110355998466,0.00100091857278,0.00123083261999,0.000856800176196,0.00103028032608,0.00110736822131,0.000926740740058,0.00142163152589,0.00120768027151,0.00111050588802,0.000866487882014,0.0007895724993332241
COG0009(Putative_translation_factor_(SUA5)),0.000652197217051,0.000668948414606,0.000670079663933,0.000587448342235,0.000762737658518,0.00067254351377,0.000565500049928,0.000636210949384,0.000652498853024,0.000603862580954,0.000737965089834,0.000734028075893,0.000648042464222,0.00060829873057,0.000621187216327,0.000580693872998,0.000649867946477,0.000674441116374,0.000585796195603,0.00058185622832,0.000763734450031,0.000647311186059,0.000196463238534,0.000721851938961,0.000244256966247,0.000213705712876,0.000648578110409,0.000693785083666,0.000754574205134,0.000804205792709,0.000606283351373,0.000780738058307,0.00055574483868,0.000617288451271,0.000739306562347,0.000746706691606,0.000637893197338,0.000556438379424,0.000704416755497,0.000790432942862,0.000743521607138,0.000742067315479,0.000757037229622,0.000498680962978,0.000734914042355,0.000550852242619,0.000536973032071,0.000670320908315,0.000641058653214,0.000721910137518,0.000799666526285,0.000895739628858,0.00067249023522,0.000628577101749,0.00056628578743,0.000850821746815,0.000881192111986,0.000640195851748,0.000871371176491,0.000730510759872,0.000752780871385,0.000800115630954,0.000575872459583334
"COG0010(Arginase/agmatinase/formimionoglutamate_hydrolase,_arginase_family)",0.000259502601117,0.000289529355787,0.000224380501499,0.000278318193292,0.000136865802484,0.000272914338494,0.000358826440501,5.69622986895e-05,4.40286665391e-05,0.000260130168412,0.000187706940072,0.000205586456452,0.00030779449655,0.000486801049258,7.25458094389e-05,0.000421410041814,7.71264070838e-05,0.00018132702581,0.000182668599465,0.000291059445448,9.01862973232e-05,0.000232128688696,0.000397855548513,0.000295114896352,1e-09,0.000115386321595,0.000267990453871,0.000304545008914,0.000504096289912,0.000225893644612,0.000199652501644,0.000282600345033,0.000156860858874,0.00134598621371,0.000139308784412,0.000284758342666,0.000272002408878,0.000160392036769,0.000320885690576,0.000265531923526,0.000108876268294,0.000354607854771,0.000270458979371,0.00016143746204,0.000441697605253,0.00044280844352,0.000773782188149,0.000185186425946,8.16028906537e-05,0.000273317912086,0.000302543319425,0.00030967657381,0.000266126021511,0.000398218068443,0.00238903868973,0.000166639117827,0.000235480496351,0.000224909033355,0.000431131061817,0.000231299732438,0.000345113567101,0.000109257335535,0.00028762982731697206
