CD_HE_median_ratio,KEGG_names,LS_HE_median_ratio,UC_HE_median_ratio
1.0,K00021(hydroxymethylglutaryl-CoA_reductase_(NADPH)),12306.3609493538,1.0
1.0,K00022(3-hydroxyacyl-CoA_dehydrogenase),27606.854900652597,1.0
1.0,K00028(malate_dehydrogenase_(decarboxylating)),954.858820352126,1.0
1.0,K00049(glyoxylate_reductase_(NADP+)),275.231665025659,1.0
1.0,K00063(D-arabinose_1-dehydrogenase),882.5670428397528,1.0
1.0,K00139(succinate-semialdehyde_dehydrogenase),812.6798656842719,1.0
1.0,K00141(benzaldehyde_dehydrogenase_(NAD)),7754.48443542877,1.0
1.0,K00148(glutathione-independent_formaldehyde_dehydrogenase),2647.7765967512596,1.0
1.0,K00149(aldehyde_dehydrogenase_family_9_member_A1),1053.99233264525,1.0
1.0,K00150(glyceraldehyde-3-phosphate_dehydrogenase_(NAD(P))),19242.605650281796,1.0
1.0,K00152(salicylaldehyde_dehydrogenase),1189.9587780839897,1.0
1.0,K00154(coniferyl-aldehyde_dehydrogenase),932.288670238929,1.0
1.0,K00157(aldehyde_oxidase),3338.64451996483,1.0
1.0,"K00187(2-oxoisovalerate_ferredoxin_oxidoreductase,_beta_subunit)",13705.0208154791,1.0
1.0,"K00188(2-oxoisovalerate_ferredoxin_oxidoreductase,_delta_subunit)",21430.087483843898,1.0
1.0,"K00189(2-oxoisovalerate_ferredoxin_oxidoreductase,_gamma_subunit)",1026.34629458948,1.0
1.0,K00192(carbon-monoxide_dehydrogenase_alpha_subunit),111.84478508567699,1.0
1.0,K00200(formylmethanofuran_dehydrogenase_subunit_A),9837.43426470523,1.0
1.0,K00201(formylmethanofuran_dehydrogenase_subunit_B),9735.49473539475,1.0
1.0,K00203(formylmethanofuran_dehydrogenase_subunit_D),9735.49473539475,1.0
1.0,K00217(maleylacetate_reductase),1677.14084230824,1.0
1.0,K00234(succinate_dehydrogenase_(ubiquinone)_flavoprotein_subunit),1122.37721878313,1.0
1.0,K00247(fumarate_reductase_subunit_D),164789.331916376,1.0
1.0,K00252(glutaryl-CoA_dehydrogenase),2295.15007569961,1.0
1.0,K00254(dihydroorotate_dehydrogenase),112.27712709228999,1.0
1.0,K00256(isoquinoline_1-oxidoreductase),164.15665096502497,1.0
1.0,K00263(leucine_dehydrogenase),131.807696115245,1.0
1.0,"K00292(saccharopine_dehydrogenase_(NAD+,_L-glutamate_forming))",240.01233887929203,1.0
1.0,"K00293(saccharopine_dehydrogenase_(NADP+,_L-glutamate_forming))",1465.88839096918,1.0
1.0,K00296(D-nopaline_dehydrogenase),1491.65809518539,1.0
1.0,K00298(N5-(carboxyethyl)ornithine_synthase),3887.900792697509,1.0
1.0,K00311(electron-transferring-flavoprotein_dehydrogenase),1993.36466216031,1.0
1.0,K00314(sarcosine_dehydrogenase),1070.19929130164,1.0
1.0,K00315(dimethylglycine_dehydrogenase),809.4681079908179,1.0
1.0,K00319(methylenetetrahydromethanopterin_dehydrogenase),8529.147404827741,1.0
1.0,"K00320(coenzyme_F420-dependent_N5,N10-methenyltetrahydromethanopterinreductase)",9080.67246338075,1.0
1.0,K00326(cytochrome-b5_reductase),6953.843459801468,1.0
1.0,K00360(nitrate_reductase_(NADH)),2477.57985866311,1.0
1.0,K00368(nitrite_reductase_(NO-forming)),1401.1402177456498,1.0
1.0,K00387(sulfite_oxidase),1359.67145739634,1.0
1.0,K00399(methyl-coenzyme_M_reductase_alpha_subunit),9745.399681574101,1.0
1.0,K00401(methyl-coenzyme_M_reductase_beta_subunit),9745.399681574101,1.0
1.0,K00402(methyl-coenzyme_M_reductase_gamma_subunit),9745.399681574101,1.0
1.0,K00405(cb-type_cytochrome_c_oxidase_subunit_II),4074.472764053279,1.0
1.0,K00406(cb-type_cytochrome_c_oxidase_subunit_III),1733.87266391031,1.0
1.0,K00411(ubiquinol-cytochrome_c_reductase_iron-sulfur_subunit),2719.1942234606704,1.0
1.0,K00413(ubiquinol-cytochrome_c_reductase_cytochrome_c1_subunit),2843.50620650062,1.0
1.0,K00414(ubiquinol-cytochrome_c_reductase_core_subunit_1),1406.02600819698,1.0
1.0,K00416(ubiquinol-cytochrome_c_reductase_subunit_6),3240.9747034735,1.0
1.0,K00440(coenzyme_F420_hydrogenase_alpha_subunit),11345.354601407498,1.0
1.0,K00442(coenzyme_F420_hydrogenase_delta_subunit),9871.22850103469,1.0
1.0,"K00446(catechol_2,3-dioxygenase)",1511.7027930495,1.0
1.0,K00481(p-hydroxybenzoate_3-monooxygenase),185.964763033065,1.0
1.0,K00496(alkane_1-monooxygenase),651.277826132623,1.0
1.0,K00499(choline_monooxygenase),4468.286547834749,1.0
1.0,K00505(tyrosinase),3862.0316710291495,1.0
1.0,K00514(zeta-carotene_desaturase),72.1702251098824,1.0
1.0,K00534(ferredoxin_hydrogenase_small_subunit),136.18702108407098,1.0
1.0,K00555(tRNA_(guanine-N2-)-methyltransferase),7879.173395810731,1.0
1.0,K00565(mRNA_(guanine-N7-)-methyltransferase),7151.8306531113985,1.0
1.0,K00577(tetrahydromethanopterin_S-methyltransferase_subunit_A),12201.868398520199,1.0
1.0,K00578(tetrahydromethanopterin_S-methyltransferase_subunit_B),9631.37581594183,1.0
1.0,K00579(tetrahydromethanopterin_S-methyltransferase_subunit_C),9309.50823731365,1.0
1.0,K00580(tetrahydromethanopterin_S-methyltransferase_subunit_D),9745.399681574101,1.0
1.0,K00581(tetrahydromethanopterin_S-methyltransferase_subunit_E),9745.399681574101,1.0
1.0,K00582(tetrahydromethanopterin_S-methyltransferase_subunit_F),9745.399681574101,1.0
1.0,K00583(tetrahydromethanopterin_S-methyltransferase_subunit_G),9745.399681574101,1.0
1.0,K00584(tetrahydromethanopterin_S-methyltransferase_subunit_H),18808.011963890895,1.0
1.0,K00586(diphthine_synthase),5898.65605425145,1.0
1.0,K00601(phosphoribosylglycinamide_formyltransferase),2280.42289088538,1.0
1.0,K00622(arylamine_N-acetyltransferase),17217.228039769197,1.0
